"day","Yeild","irr"
"0","24412.673031351987","830.9333333333223"
"1","24412.673031351987","868.4799999999882"
"2","24412.673031351987","868.4799999999882"
"3","24412.673031351987","868.4799999999882"
"4","24412.673031351987","868.4799999999882"
"5","24412.673031351987","868.4799999999882"
"6","24412.673031351987","868.4799999999882"
"7","24412.673031351987","868.4799999999882"
"8","24412.673031351987","906.4533333333209"
"9","24412.673031351987","906.4533333333209"
"10","24412.673031351987","906.4533333333209"
"11","24412.673031351987","906.4533333333209"
"12","24412.673031351987","906.4533333333209"
"13","24412.673031351987","906.4533333333209"
"14","24412.673031351987","906.4533333333209"
"15","24412.673031351987","906.4533333333209"
"16","24412.673031351987","906.4533333333209"
"17","24412.673031351987","906.4533333333209"
"18","24412.673031351987","906.4533333333209"
"19","24412.673031351987","906.4533333333209"
"20","24412.673031351987","944.4266666666535"
"21","24412.673031351987","944.4266666666535"
"22","24412.673031351987","944.4266666666535"
"23","24412.673031351987","944.4266666666535"
"24","24412.673031351987","944.4266666666535"
"25","24412.673031351987","944.4266666666535"
"26","24412.673031351987","944.4266666666535"
"27","24412.673031351987","982.3999999999862"
"28","24412.673031351987","982.3999999999862"
"29","24412.673031351987","982.3999999999862"
"30","24412.673031351987","982.3999999999862"
"31","24412.673031351987","1013.3333333333189"
"32","24412.673031351987","1019.9466666666522"
"33","24412.674015086923","1019.9466666666522"
"34","24412.687472746784","1019.9466666666522"
"35","24412.73125752047","1019.9466666666522"
"36","24412.82332048633","1019.9466666666522"
"37","24412.98162394416","1019.9466666666522"
"38","24413.22416257329","1019.9466666666522"
"39","24413.568856949314","1053.4399999999848"
"40","24414.033662457427","1057.493333333318"
"41","24414.636582996674","1057.493333333318"
"42","24415.395420901725","1057.493333333318"
"43","24416.328143025024","1057.493333333318"
"44","24417.453023312944","1057.493333333318"
"45","24418.787629801707","1057.493333333318"
"46","24420.351581058094","1095.039999999984"
"47","24422.160579729123","1095.039999999984"
"48","24424.233456010723","1095.039999999984"
"49","24426.587901618113","1095.039999999984"
"50","24429.241961346142","1095.039999999984"
"51","24432.214022777487","1095.039999999984"
"52","24435.521869098546","1095.039999999984"
"53","24439.182745838763","1132.58666666665"
"54","24443.21509863823","1132.58666666665"
